League,Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
TRUFFLE,TE,MWM,Terrance Ferguson,LAR,SF,Thu  8:35pm ET,11,48.5,19,22,16%,2%,3,2,50.10,47.80,82.85
TRUFFLE,TE,MWM,Oronde Gadsden,LAC,ARI,Sun  4:25pm ET,7,47.5,29,31,34%,8%,1,1,110.40,109.10,68.78
TRUFFLE,WR,MWM,Cooper Kupp,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,31%,4%,1,1,95.30,121.50,93.43
TRUFFLE,QB,NN,Lamar Jackson,BAL,@IND,Sun  1:00pm ET,13,47.5,2,20,97%,80%,120,2,238.86,365.78,314.45
TRUFFLE,RB,NN,Breece Hall,NYJ,@TEN,Sun  1:00pm ET,13,39,16,13,96%,74%,70,1,241.66,259.92,180.06
TRUFFLE,RB,NN,Quinshon Judkins,CLE,@JAC,Sun  1:00pm ET,11,40.5,19,1,95%,64%,25,2,201.40,197.20,178.71
TRUFFLE,WR,NN,AJ Brown,NE,@SEA,Wed  8:20pm ET,11,44.5,10,4,96%,91%,75,2,189.30,212.10,186.87
TRUFFLE,WR,NN,Malik Nabers,NYG,DAL,Sun  8:20pm ET,8,48.5,14,32,77%,61%,25,1,50.10,126.90,171.64
TRUFFLE,TE,NN,Jake Ferguson,DAL,@NYG,Sun  8:20pm ET,14,48.5,17,10,80%,36%,2,1,136.10,111.80,104.42
TRUFFLE,RB,NN,Tyler Allgeier,ARI,@LAC,Sun  4:25pm ET,14,47.5,48,8,57%,5%,1,1,148.60,146.30,81.40
TRUFFLE,RB,NN,Jadarian Price,SEA,NE,Wed  8:20pm ET,11,44.5,23,2,64%,42%,30,3,0.00,0.00,167.04
TRUFFLE,QB,NN,Trevor Lawrence,JAC,CLE,Sun  1:00pm ET,7,40.5,9,4,94%,66%,90,2,378.18,264.16,310.91
TRUFFLE,DST,NN,Vikings,MIN,GB,Sun  4:25pm ET,6,45.5,10,1,77%,63%,2,1,148.00,152.00,179.20
