League,Season,TRUFFLE,Pos,Player,NFL,Salary,Contract,Ring,BenchCup
TRUFFLE,2020,CRB,TE,Travis Kelce,KC,46,3,0,0
TRUFFLE,2020,CRB,RB,Myles Gaskin,MIA,1,2,0,0
TRUFFLE,2020,CRB,QB,Daniel Jones,NYG,40,2,0,0
TRUFFLE,2020,CRB,RB,Ezekiel Elliott,DAL,95,2,0,0
TRUFFLE,2020,CRB,RB,Tony Pollard,DAL,15,2,0,0
TRUFFLE,2020,CRB,WR,Kenny Golladay,DET,51,2,0,0
TRUFFLE,2020,CRB,WR,Deebo Samuel,SF,36,2,0,0
TRUFFLE,2020,CRB,QB,Ryan Fitzpatrick,MIA,23,1,0,0
TRUFFLE,2020,CRB,RB,Ronald Jones,TB,21,1,0,0
TRUFFLE,2020,CRB,QB,Gardner Minshew,JAC,29,3,0,0
TRUFFLE,2020,CRB,QB,Nick Mullens,SF,17,1,0,0
TRUFFLE,2020,ELP,QB,Aaron Rodgers,GB,68,3,0,0
TRUFFLE,2020,ELP,RB,Le'Veon Bell,KC,48,2,0,0
TRUFFLE,2020,ELP,RB,Gus Edwards,BAL,1,2,0,0
TRUFFLE,2020,ELP,WR,Tyreek Hill,KC,67,4,0,0
TRUFFLE,2020,ELP,WR,Michael Pittman,IND,5,3,0,0
TRUFFLE,2020,ELP,WR,Marquise Brown,BAL,50,3,0,0
TRUFFLE,2020,ELP,TE,Mark Andrews,BAL,28,4,0,0
TRUFFLE,2020,ELP,TE,TJ Hockenson,DET,9,2,0,0
TRUFFLE,2020,ELP,WR,Nelson Agholor,LV,7,2,0,0
TRUFFLE,2020,ELP,QB,Jimmy Garoppolo,SF,31,2,0,0
TRUFFLE,2020,ELP,RB,Adrian Peterson,DET,1,2,0,0
TRUFFLE,2020,ELP,WR,Parris Campbell,IND,7,2,0,0
TRUFFLE,2020,ELP,WR,KJ Hill,LAC,3,3,0,0
TRUFFLE,2020,ELP,WR,Preston Williams,MIA,23,2,0,0
TRUFFLE,2020,ELP,WR,N'Keal Harry,NE,17,3,0,0
TRUFFLE,2020,ELP,WR,Emmanuel Sanders,NO,6,2,0,0
TRUFFLE,2020,ELP,WR,Marquez Valdes-Scantling,GB,3,2,0,0
TRUFFLE,2020,ELP,RB,AJ Dillon,GB,5,3,0,0
TRUFFLE,2020,ELP,RB,Marlon Mack,IND,1,2,0,0
TRUFFLE,2020,ELP,RB,Saquon Barkley,NYG,97,2,0,0
TRUFFLE,2020,FRR,QB,Patrick Mahomes,KC,72,4,0,0
TRUFFLE,2020,FRR,RB,Christian McCaffrey,CAR,104,2,0,0
TRUFFLE,2020,FRR,RB,Austin Ekeler,LAC,55,3,0,0
TRUFFLE,2020,FRR,WR,Robby Anderson,CAR,1,2,0,0
TRUFFLE,2020,FRR,WR,Allen Robinson,CHI,56,2,0,0
TRUFFLE,2020,FRR,WR,DK Metcalf,SEA,52,3,0,0
TRUFFLE,2020,FRR,TE,Logan Thomas,WAS,4,2,0,0
TRUFFLE,2020,FRR,RB,Clyde Edwards-Helaire,KC,40,3,0,0
TRUFFLE,2020,FRR,RB,James Robinson,JAC,4,2,0,0
TRUFFLE,2020,FRR,QB,Drew Brees,NO,54,1,0,0
TRUFFLE,2020,FRR,QB,Jameis Winston,NO,1,2,0,0
TRUFFLE,2020,FRR,QB,Jordan Love,GB,3,3,0,0
TRUFFLE,2020,FRR,RB,Mike Davis,CAR,10,2,0,0
TRUFFLE,2020,FRR,RB,Ke'Shawn Vaughn,TB,1,2,0,0
TRUFFLE,2020,FRR,RB,Lamical Perine,NYJ,1,2,0,0
TRUFFLE,2020,FRR,WR,Tyron Johnson,LAC,1,2,0,0
TRUFFLE,2020,FRR,WR,Darnell Mooney,CHI,2,3,0,0
TRUFFLE,2020,FRR,WR,Jerry Jeudy,DEN,25,3,0,0
TRUFFLE,2020,FRR,WR,Gabe Davis,BUF,1,2,0,0
TRUFFLE,2020,FRR,TE,Cole Kmet,CHI,1,2,0,0
TRUFFLE,2020,GF,QB,Tim Boyle,GB,1,1,0,1
TRUFFLE,2020,GF,RB,Jamaal Williams,GB,3,2,0,1
TRUFFLE,2020,GF,RB,Miles Sanders,PHI,67,3,0,1
TRUFFLE,2020,GF,WR,Devin Duvernay,BAL,3,3,0,1
TRUFFLE,2020,GF,WR,Jalen Raegor,PHI,10,3,0,1
TRUFFLE,2020,GF,WR,Henry Ruggs,LV,5,3,0,1
TRUFFLE,2020,GF,TE,Noah Fant,DEN,14,4,0,1
TRUFFLE,2020,GF,WR,Julio Jones,ATL,67,3,0,1
TRUFFLE,2020,GF,WR,Brandon Aiyuk,SF,12,2,0,1
TRUFFLE,2020,GF,QB,Chad Henne,KC,17,1,0,1
TRUFFLE,2020,GF,QB,Russell Wilson,SEA,63,4,0,1
TRUFFLE,2020,GF,QB,Cam Newton,NE,50,2,0,1
TRUFFLE,2020,GF,QB,Mike Glennon,JAC,2,1,0,1
TRUFFLE,2020,GF,QB,CJ Beathard,SF,17,1,0,1
TRUFFLE,2020,GF,QB,Mitchell Trubisky,CHI,7,1,0,1
TRUFFLE,2020,GF,QB,John Wolford,LAR,2,1,0,1
TRUFFLE,2020,GF,RB,James Conner,PIT,69,3,0,1
TRUFFLE,2020,GF,RB,Kareem Hunt,CLE,34,2,0,1
TRUFFLE,2020,GF,RB,Keenan Allen,LAC,47,3,0,1
TRUFFLE,2020,MCM,QB,Dak Prescott,DAL,66,4,0,0
TRUFFLE,2020,MCM,RB,Damien Harris,NE,12,2,0,0
TRUFFLE,2020,MCM,RB,Salvon Ahmed,MIA,15,2,0,0
TRUFFLE,2020,MCM,WR,DJ Chark,JAC,35,2,0,0
TRUFFLE,2020,MCM,WR,Michael Gallup,DAL,35,3,0,0
TRUFFLE,2020,MCM,WR,Mecole Hardman,KC,19,2,0,0
TRUFFLE,2020,MCM,TE,Zach Ertz,PHI,31,2,0,0
TRUFFLE,2020,MCM,WR,Christian Kirk,ARI,16,2,0,0
TRUFFLE,2020,MCM,QB,Taylor Heinicke,WAS,1,2,0,0
TRUFFLE,2020,MCM,QB,Philip Rivers,IND,16,2,0,0
TRUFFLE,2020,MCM,QB,Justin Herbert,LAC,30,3,0,0
TRUFFLE,2020,MCM,QB,Jalen Hurts,PHI,1,2,0,0
TRUFFLE,2020,MCM,QB,Taysom Hill,NO,24,2,0,0
TRUFFLE,2020,MCM,RB,Wayne Gallman,NYG,5,2,0,0
TRUFFLE,2020,MCM,RB,Nyheim Hines,IND,6,2,0,0
TRUFFLE,2020,MCM,WR,Tim Patrick,DEN,5,2,0,0
TRUFFLE,2020,MCM,RB,David Johnson,HOU,63,2,0,0
TRUFFLE,2020,MCM,RB,Kalen Ballage,LAC,3,2,0,0
