playerID,Player,Pos,NFL,TRUFFLE
2741201,Jerry Jeudy,WR,DEN,FRR
2819979,Tanner Gentry,WR,BUF,W (5/9)
3116861,John Lovett,RB,MIA,W (5/9)
1888046,Temarrick Hemingway,TE,WAS,W (5/9)
3116826,Reggie White,WR,NYG,W (5/9)
1851039,Matt Johnson,QB,CIN,W (5/9)
2131261,David Blough,QB,DET,W (5/9)
1725130,Travis Kelce,TE,KC,CRB
2741207,Brian Robinson,RB,WAS,W (5/9)
2809206,Travis Etienne,RB,JAC,MCM
2867599,Connor Heyward,RB,PIT,W (5/9)
2001251,Corey Coleman,WR,KC,W (5/9)
2819968,Jason Croom,TE,PHI,W (5/9)
2131796,Josh Reynolds,WR,DET,MAM
2182351,Chase Litton,QB,JAC,W (5/9)
1243338,Tyrod Taylor,QB,NYG,W (5/9)
2182228,Adam Trautman,TE,NO,W (5/9)
3159184,Easop Winston,WR,NO,W (5/9)
2866927,Larry RountreeI,RB,LAC,W (5/9)
1683145,Kyle Juszczyk,RB,SF,W (5/9)
2180832,Damion Ratley,WR,MIN,W (5/9)
2964472,Jermar Jefferson,RB,DET,W (5/9)
2223251,Stephen Sullivan,TE,CAR,W (5/9)
2866903,Noah Gray,TE,KC,W (5/9)
1871361,Derek Watt,RB,PIT,W (5/9)
2239784,Austin Mack,WR,SF,W (5/9)
3117157,Nsimba Webster,WR,CHI,W (5/9)
2071919,Rashard Higgins,WR,CAR,W (5/9)
2804561,Racey McMath,WR,TEN,W (5/9)
2256993,Kenny Yeboah,TE,NYJ,W (5/9)
2252295,John Mitchell,WR,SEA,W (5/9)
2827939,Blake Proehl,WR,MIN,W (5/9)
2079887,Evan Engram,TE,JAC,W (5/9)
2251343,Kaden Smith,TE,NYG,W (5/9)
26642430,Darius Clark,RB,CAR,W (5/9)
3170411,Connor Davis,TE,CLE,W (5/9)
2818971,Anthony Firkser,TE,ATL,W (5/9)
2185541,Chris Carson,RB,SEA,NN
2820499,Reggie Davis,WR,DAL,W (5/9)
2866340,Tamorrion Terry,WR,SEA,W (5/9)
2240263,Jamal Pettigrew,TE,LAR,W (5/9)
2133482,Deshaun Watson,QB,CLE,NN
2060508,Scott Orndoff,TE,PHI,W (5/9)
2136556,Clayton Thorson,QB,NYG,W (5/9)
2139642,Dante Pettis,WR,NYG,W (5/9)
2240516,Zack Moss,RB,BUF,WLW
2783899,Isaiah Hodgins,WR,BUF,W (5/9)
2053740,Darren Fells,TE,TB,W (5/9)
2260185,DK Metcalf,WR,SEA,MWM
3117113,Tom Kennedy,WR,DET,W (5/9)
1691489,Marquise Goodwin,WR,CHI,W (5/9)
2131694,Russell Gage,WR,TB,CRB
27017067,Dareke Young,WR,SEA,W (5/9)
3117115,Parker Hesse,TE,ATL,W (5/9)
2180561,Kyle Shurmur,QB,WAS,W (5/9)
2189163,Dax Raymond,TE,PIT,W (5/9)
2175993,Jonathon Rumph,WR,NYJ,W (5/9)
2927394,Nick Stevens,QB,DEN,W (5/9)
2179546,Chase Harrell,TE,SF,W (5/9)
1631827,Kenjon Barner,RB,TB,W (5/9)
2965618,Chris Blair,WR,GB,W (5/9)
1824784,Dee Hart,RB,FA,W (5/9)
2253076,Denzel Mims,WR,NYJ,W (5/9)
1749732,Cody Fajardo,QB,LV,W (5/9)
2079843,Alex Collins,RB,SEA,W (5/9)
2819874,Levi Lewis,QB,SEA,W (5/9)
1840609,Bobo Beathard,WR,ARI,W (5/9)
1977121,Derek Carrier,TE,LV,W (5/9)
2139293,Jason Cabinda,RB,DET,W (5/9)
2180624,Derrius Guice,RB,WAS,W (5/9)
2186493,Kai Locksley,WR,MIA,W (5/9)
1860834,Tyler Lockett,WR,SEA,W (5/9)
2248610,Lamical Perine,RB,NYJ,W (5/9)
2252798,Rico Dowdle,RB,DAL,W (5/9)
2188826,Adam Prentice,RB,NO,W (5/9)
2260676,Chase Claypool,WR,PIT,CC
2175046,Milton Williams,WR,LV,W (5/9)
2868238,Jalen Tolbert,WR,DAL,W (5/9)
2966039,Kyle Philips,WR,TEN,W (5/9)
2139562,Patrick Laird,RB,MIA,W (5/9)
2256707,Branden Mack,WR,DEN,W (5/9)
