Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Isiah Pacheco ,RB,KC,23,9,8,21,3,-,-,-,-,-,-,-,-,-,-,-,-,-,45,13
JD McKissic ,RB,WAS,40,46,53,51,41,-,-,-,-,-,-,-,-,-,-,-,-,-,170,47
JK Dobbins ,RB,BAL,0,0,45,50,40,-,-,-,-,-,-,-,-,-,-,-,-,-,88,45
JP Holtz ,TE,NO,0,0,0,18,0,-,-,-,-,-,-,-,-,-,-,-,-,-,11,18
Ja'Marr Chase ,WR,CIN,100,96,87,94,100,-,-,-,-,-,-,-,-,-,-,-,-,-,349,96
JaMycal Hasty ,RB,JAC,0,0,4,6,4,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4
Jack Stoll ,TE,PHI,0,0,53,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,37,53
Jacoby Brissett ,QB,CLE,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,359,100
Jaelon Darden ,WR,TB,16,12,28,9,14,-,-,-,-,-,-,-,-,-,-,-,-,-,53,16
Jahan Dotson ,WR,WAS,88,99,87,59,0,-,-,-,-,-,-,-,-,-,-,-,-,-,252,83
Jake Ferguson ,TE,DAL,0,0,83,28,0,-,-,-,-,-,-,-,-,-,-,-,-,-,70,56
Jake Kumerow ,WR,BUF,0,78,5,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,58,36
Jake Tonges ,TE,CHI,0,0,10,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,6,10
Jakob Johnson ,RB,LV,14,0,23,0,39,-,-,-,-,-,-,-,-,-,-,-,-,-,49,26
Jakobi Meyers ,WR,NE,88,82,0,0,80,-,-,-,-,-,-,-,-,-,-,-,-,-,154,83
Jalen Guyton ,WR,LAC,7,0,26,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,21,16
Jalen Hurts ,QB,PHI,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,375,100
Jalen Nailor ,WR,MIN,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
Jalen Reagor ,WR,MIN,0,16,1,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,17,6
Jalen Tolbert ,WR,DAL,0,0,36,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,23,36
Jamaal Williams ,RB,DET,33,34,45,49,33,-,-,-,-,-,-,-,-,-,-,-,-,-,137,39
Jamal Agnew ,WR,JAC,10,10,16,38,8,-,-,-,-,-,-,-,-,-,-,-,-,-,50,15
Jameis Winston ,QB,NO,100,97,100,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,196,99
James Conner ,RB,ARI,72,21,60,66,35,-,-,-,-,-,-,-,-,-,-,-,-,-,189,50
James Cook ,RB,BUF,5,26,12,3,18,-,-,-,-,-,-,-,-,-,-,-,-,-,44,13
James Proche ,WR,BAL,9,0,0,0,28,-,-,-,-,-,-,-,-,-,-,-,-,-,23,19
James Robinson ,RB,JAC,49,63,58,47,40,-,-,-,-,-,-,-,-,-,-,-,-,-,175,51
Jamison Crowder ,WR,BUF,31,28,49,17,0,-,-,-,-,-,-,-,-,-,-,-,-,-,93,33
Jared Goff ,QB,DET,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,348,100
Jarvis Landry ,WR,NO,72,68,30,63,0,-,-,-,-,-,-,-,-,-,-,-,-,-,149,58
Jauan Jennings ,WR,SF,60,46,46,36,22,-,-,-,-,-,-,-,-,-,-,-,-,-,135,42
Javonte Williams ,RB,DEN,58,65,45,45,0,-,-,-,-,-,-,-,-,-,-,-,-,-,142,54
Jaylen Waddle ,WR,MIA,67,80,74,86,76,-,-,-,-,-,-,-,-,-,-,-,-,-,235,77
Jaylen Warren ,RB,PIT,37,29,20,25,51,-,-,-,-,-,-,-,-,-,-,-,-,-,106,33
Jeff Driskel ,QB,HOU,3,5,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,4
Jeff Smith ,WR,NYJ,0,14,0,10,20,-,-,-,-,-,-,-,-,-,-,-,-,-,29,15
Jeff Wilson ,RB,SF,59,49,73,66,58,-,-,-,-,-,-,-,-,-,-,-,-,-,190,59
Jelani Woods ,TE,IND,0,0,23,23,29,-,-,-,-,-,-,-,-,-,-,-,-,-,54,25
Jeremy Ruckert ,TE,NYJ,0,26,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,18,26
Jerick McKinnon ,RB,KC,39,47,52,23,53,-,-,-,-,-,-,-,-,-,-,-,-,-,143,42
Jerry Jeudy ,WR,DEN,89,14,59,89,84,-,-,-,-,-,-,-,-,-,-,-,-,-,221,65
Jesper Horsted ,TE,LV,0,0,0,0,58,-,-,-,-,-,-,-,-,-,-,-,-,-,37,58
Jimmy Garoppolo ,QB,SF,0,79,100,100,99,-,-,-,-,-,-,-,-,-,-,-,-,-,232,92
Jody Fortson ,TE,KC,34,11,13,29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,61,23
Joe Burrow ,QB,CIN,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,365,100
Joe Flacco ,QB,NYJ,100,100,100,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,232,100
Joe Mixon ,RB,CIN,73,76,66,83,70,-,-,-,-,-,-,-,-,-,-,-,-,-,268,73
John Bates ,TE,WAS,55,32,26,41,59,-,-,-,-,-,-,-,-,-,-,-,-,-,153,42
Johnny Mundt ,TE,MIN,65,46,39,28,44,-,-,-,-,-,-,-,-,-,-,-,-,-,151,44
Jonathan Taylor ,RB,IND,76,74,76,88,0,-,-,-,-,-,-,-,-,-,-,-,-,-,219,78
Jonathan Williams ,RB,WAS,1,0,3,8,0,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4
Jonnu Smith ,TE,NE,68,57,48,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,110,58
Jordan Akins ,TE,HOU,0,0,29,35,17,-,-,-,-,-,-,-,-,-,-,-,-,-,47,27
Jordan Love ,QB,GB,8,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8
Jordan Mason ,RB,SF,0,0,9,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,6,5
Josh Allen ,QB,BUF,100,76,100,100,86,-,-,-,-,-,-,-,-,-,-,-,-,-,315,93
Josh Gordon ,WR,TEN,0,32,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,18,32
