Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj,League
WR,MCM,Jakobi Meyers,JAC,CLE,Sun  1:00pm ET,7,40.5,44,5,91%,62%,41.0,1,144.8,180.12,120.86,TRUFFLE
RB,MCM,Kimani Vidal,LAC,ARI,Sun  4:25pm ET,7,46.5,58,30,77%,17%,5.0,1,140.2,85.9,65.74,TRUFFLE
QB,MCM,Fernando Mendoza,LV,MIA,Sun  4:25pm ET,13,40.5,32,23,3%,1%,45.0,3,0.0,0.0,177.09,TRUFFLE
DST,MCM,Seahawks,SEA,NE,Wed  8:20pm ET,11,44.5,4,17,96%,72%,2.0,1,213.0,164.0,170.1,TRUFFLE
QB,MCM,Shedeur Sanders,CLE,@JAC,Sun  1:00pm ET,11,40.5,---,19,28%,7%,5.0,2,92.0,85.58,152.4,TRUFFLE
RB,MCM,Adam Randall,BAL,@IND,Sun  1:00pm ET,13,49.5,---,11,3%,1%,3.0,3,0.0,0.0,89.25,TRUFFLE
WR,MCM,Skyler Bell,BUF,@HOU,Sun  1:00pm ET,7,44.5,---,7,2%,1%,5.0,3,0.0,0.0,23.03,TRUFFLE
WR,MCM,Ted Hurst,TB,@CIN,Sun  1:00pm ET,10,52.5,---,9,2%,1%,3.0,3,0.0,0.0,66.98,TRUFFLE
WR,MCM,Makai Lemon,PHI,WAS,Sun  4:25pm ET,10,47.5,51,28,4%,1%,25.0,3,0.0,0.0,98.23,TRUFFLE
TE,MCM,Isaiah Likely,NYG,DAL,Sun  8:20pm ET,8,48.5,9,13,34%,13%,1.0,1,45.7,77.4,126.62,TRUFFLE
WR,MCM,Mack Hollins,NE,@SEA,Wed  8:20pm ET,11,44.5,---,4,19%,2%,2.0,1,95.4,73.5,51.07,TRUFFLE
DST,MCM,Browns,CLE,@JAC,Sun  1:00pm ET,11,40.5,15,14,70%,43%,1.0,1,154.0,125.0,142.2,TRUFFLE
QB,MWM,Jalen Hurts,PHI,WAS,Sun  4:25pm ET,10,47.5,6,30,96%,74%,132.0,1,340.06,376.52,315.03,TRUFFLE
RB,MWM,Derrick Henry,BAL,@IND,Sun  1:00pm ET,13,49.5,7,11,99%,96%,92.0,1,347.5,357.62,272.22,TRUFFLE
RB,MWM,Cam Skattebo,NYG,DAL,Sun  8:20pm ET,8,48.5,17,27,51%,10%,10.0,2,142.0,134.2,205.01,TRUFFLE
WR,MWM,Terry McLaurin,WAS,@PHI,Sun  4:25pm ET,7,47.5,23,8,95%,66%,67.0,1,109.2,177.0,157.09,TRUFFLE
WR,MWM,Rashid Shaheed,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,51%,10%,1.0,1,117.9,100.5,116.32,TRUFFLE
TE,MWM,Mark Andrews,BAL,@IND,Sun  1:00pm ET,13,49.5,13,25,84%,47%,19.0,1,114.0,131.3,121.77,TRUFFLE
TE,MWM,Oronde Gadsden,LAC,ARI,Sun  4:25pm ET,7,46.5,21,31,62%,18%,1.0,1,110.4,109.1,84.1,TRUFFLE
WR,MWM,Cooper Kupp,SEA,NE,Wed  8:20pm ET,11,44.5,---,11,45%,10%,1.0,1,95.3,121.5,95.12,TRUFFLE
QB,MWM,Cam Ward,TEN,NYJ,Sun  1:00pm ET,9,38.5,24,31,24%,5%,40.0,2,202.26,200.78,229.69,TRUFFLE
DST,MWM,Chiefs,KC,DEN,Mon  8:15pm ET,5,42.5,12,5,65%,37%,4.0,1,117.0,125.0,129.0,TRUFFLE
RB,MWM,Kaytron Allen,WAS,@PHI,Sun  4:25pm ET,7,47.5,---,26,3%,1%,5.0,3,0.0,0.0,27.31,TRUFFLE
RB,MWM,Kareem Hunt,KC,DEN,Mon  8:15pm ET,5,42.5,---,3,79%,29%,2.0,1,190.4,168.3,19.9,TRUFFLE
WR,MWM,Ja'Kobi Lane,BAL,@IND,Sun  1:00pm ET,13,49.5,---,27,3%,1%,5.0,3,0.0,0.0,93.65,TRUFFLE
TE,MWM,Terrance Ferguson,LAR,SF,Thu  8:35pm ET,11,48.5,24,22,5%,1%,3.0,2,50.1,47.8,77.73,TRUFFLE
QB,NN,Tyler Shough,NO,@DET,Sun  1:00pm ET,8,49.5,17,22,48%,20%,5.0,2,169.26,161.88,276.82,TRUFFLE
RB,NN,Tyler Allgeier,ARI,@LAC,Sun  4:25pm ET,14,46.5,48,8,67%,10%,1.0,1,148.6,146.3,83.1,TRUFFLE
RB,NN,Breece Hall,NYJ,@TEN,Sun  1:00pm ET,13,38.5,15,13,98%,66%,70.0,1,241.66,259.92,203.07,TRUFFLE
WR,NN,Michael Wilson,ARI,@LAC,Sun  4:25pm ET,14,46.5,41,3,93%,76%,1.0,1,193.6,138.0,117.67,TRUFFLE
WR,NN,Xavier Worthy,KC,DEN,Mon  8:15pm ET,5,42.5,48,2,77%,23%,15.0,1,93.9,136.6,106.71,TRUFFLE
TE,NN,Jake Ferguson,DAL,@NYG,Sun  8:20pm ET,14,48.5,18,10,87%,48%,2.0,1,136.1,111.8,104.42,TRUFFLE
RB,NN,Kyle Monangai,CHI,@CAR,Sun  1:00pm ET,10,45.5,37,23,88%,28%,1.0,1,175.7,174.5,131.71,TRUFFLE
WR,NN,Malik Nabers,NYG,DAL,Sun  8:20pm ET,8,48.5,13,32,42%,12%,25.0,1,50.1,126.9,168.23,TRUFFLE
DST,NN,Vikings,MIN,GB,Sun  4:25pm ET,6,45.5,9,1,52%,32%,2.0,1,148.0,152.0,162.3,TRUFFLE
RB,NN,JK Dobbins,DEN,@KC,Mon  8:15pm ET,10,42.5,32,6,38%,3%,2.0,1,142.2,115.9,149.01,TRUFFLE
RB,NN,Quinshon Judkins,CLE,@JAC,Sun  1:00pm ET,11,40.5,19,1,90%,44%,25.0,2,201.4,197.2,165.91,TRUFFLE
RB,NN,Jadarian Price,SEA,NE,Wed  8:20pm ET,11,44.5,27,2,7%,2%,30.0,3,0.0,0.0,167.04,TRUFFLE
WR,NN,Chris Bell,MIA,@LV,Sun  4:25pm ET,6,40.5,---,20,3%,1%,5.0,3,0.0,0.0,49.07,TRUFFLE
RB,NN,Brian Robinson,ATL,@PIT,Sun  1:00pm ET,11,41.5,56,9,51%,2%,1.0,2,75.6,158.2,88.4,TRUFFLE
WR,NN,Chris Brazzell,CAR,CHI,Sun  1:00pm ET,5,45.5,---,31,2%,1%,3.0,3,0.0,0.0,0.0,TRUFFLE
QB,VD,Cade Klubnik,NYJ,@TEN,Sun  1:00pm ET,13,38.5,---,28,1%,1%,3.0,3,0.0,0.0,12.48,TRUFFLE
RB,VD,Bucky Irving,TB,@CIN,Sun  1:00pm ET,10,52.5,22,31,99%,89%,3.0,1,146.5,202.4,193.19,TRUFFLE
RB,VD,Bijan Robinson,ATL,@PIT,Sun  1:00pm ET,11,41.5,2,9,100%,99%,70.0,2,388.8,342.0,319.94,TRUFFLE
WR,VD,Marvin Harrison,ARI,@LAC,Sun  4:25pm ET,14,46.5,31,3,89%,20%,45.0,1,116.8,144.6,135.71,TRUFFLE
WR,VD,Rome Odunze,CHI,@CAR,Sun  1:00pm ET,10,45.5,29,12,84%,12%,20.0,1,139.1,131.5,152.76,TRUFFLE
