Season,Week,TRUFFLE,Player,Pos,NFL,Pct,20+,40+,Avg,20+.1,Tar,TarPct,Avg.1,20+.2,40+.1,1Std Pct,Total,Avg.2,Total.1
2022,1,W (10/2),Ben Skowronek,WR,LAR,0.0,0,0,0.0,0.0,6,14.6,6.2,0,0,50.0,25,4.50,4.5
2022,1,MCM,Hunter Renfrow,WR,LV,0.0,0,0,0.0,0.0,6,16.2,7.0,0,0,66.7,21,4.10,4.1
2022,1,W (10/2),Olamide Zaccheaus,WR,ATL,0.0,0,0,0.0,0.0,4,12.1,12.2,1,0,25.0,49,3.90,3.9
2022,1,W (10/2),Sammy Watkins,WR,GB,0.0,0,0,0.0,0.0,3,7.7,6.0,0,0,66.7,18,3.80,3.8
2022,1,VD,Evan Engram,TE,JAC,0.0,0,0,0.0,0.0,4,9.5,7.0,0,0,25.0,28,3.80,3.8
2022,1,AFL,Nico Collins,WR,HOU,0.0,0,0,0.0,0.0,3,8.1,13.0,0,0,50.0,26,3.60,3.6
2022,1,W (10/2),Trace McSorley,QB,ARI,50.0,0,0,6.7,0.0,0,0.0,0.0,0,0,0.0,32,3.48,3.48
2022,1,W (10/2),Randall Cobb,WR,GB,0.0,0,0,0.0,0.0,3,7.7,7.0,0,0,100.0,14,3.40,3.4
2022,1,MAM,Matt Breida,RB,NYG,0.0,0,0,4.8,0.0,0,0.0,0.0,0,0,0.0,24,3.40,3.4
2022,1,AFL,Kadarius Toney,WR,NYG,0.0,0,0,11.5,0.0,0,0.0,0.0,0,0,0.0,23,3.30,3.3
2022,1,W (10/2),Armani Rogers,TE,WAS,0.0,0,0,0.0,0.0,1,2.4,23.0,1,0,100.0,23,3.30,3.3
2022,1,W (10/2),Kenny Golladay,WR,NYG,0.0,0,0,0.0,0.0,2,9.5,11.0,0,0,50.0,22,3.20,3.2
2022,1,W (10/2),Cody Hollister,WR,TEN,0.0,0,0,0.0,0.0,1,3.0,22.0,1,0,100.0,22,3.20,3.2
2022,1,W (10/2),Byron Pringle,WR,CHI,0.0,0,0,0.0,0.0,2,11.8,22.0,1,0,100.0,22,3.20,3.2
2022,1,W (10/2),Kylen Granson,TE,IND,0.0,0,0,0.0,0.0,7,14.0,7.3,0,0,33.3,22,3.20,3.2
2022,1,W (10/2),Marquise Goodwin,WR,SEA,0.0,0,0,0.0,0.0,2,7.1,11.0,0,0,50.0,22,3.20,3.2
2022,1,MAM,Rachaad White,RB,TB,0.0,0,0,2.3,0.0,2,7.4,3.5,0,0,0.0,21,3.10,3.1
2022,1,W (10/2),Ray-Ray McCloud,WR,SF,0.0,0,0,0.0,0.0,2,7.1,20.0,1,0,100.0,20,3.00,3.0
2022,1,MAM,Jeff Wilson,RB,SF,0.0,0,0,2.4,0.0,2,7.1,4.0,0,0,0.0,30,3.00,3.0
