Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OpRk,PaCmp,PaAtt,PaYd,PaTD,PaInt,RuAtt,RuYd,RuTD,RuFD,Tar,Rec,ReYd,ReTD,ReFD,FL,Avg,FPts
2025,7,NN,WR,Troy Franklin,DEN,NYG,30,0,0,0,0,0,0,0,0,0,10,3,19,1,2,0,11.90,11.90
2025,7,NN,WR,Justin Jefferson,MIN,PHI,20,0,0,0,0,0,0,0,0,0,10,5,79,0,3,0,10.90,10.90
2025,7,NN,WR,Xavier Worthy,KC,LV,28,0,0,0,0,0,1,13,0,1,4,3,35,0,2,0,7.80,7.80
2025,7,NN,RB,Breece Hall,NYJ,CAR,9,0,0,0,0,0,11,38,0,2,3,2,14,0,0,0,7.20,7.20
2025,7,NN,RB,Brian Robinson,SF,ATL,18,0,0,0,0,0,9,36,0,1,0,0,0,0,0,0,4.60,4.60
2025,7,NN,RB,Tyler Allgeier,ATL,@SF,16,0,0,0,0,0,4,16,0,2,0,0,0,0,0,0,3.60,3.60
2025,7,NN,WR,Pat Bryant,DEN,NYG,30,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,0.60,0.60
2025,7,NN,QB,Tyler Shough,NO,@CHI,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,NN,RB,Braelon Allen,NYJ,CAR,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,NN,WR,Malik Nabers,NYG,@DEN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,NN,WR,Jalen Coker,CAR,@NYJ,17,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.00,0.00
2025,7,NN,WR,Keon Coleman,BUF,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,NN,QB,Joe Burrow,CIN,PIT,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,NN,DST,Bears,CHI,NO,21,,,,,,,,,,,,,,,,18.00,18.00
2025,7,VD,RB,Bijan Robinson,ATL,@SF,16,0,0,0,0,0,14,40,0,1,8,6,52,1,3,0,19.20,19.20
2025,7,VD,WR,Michael Pittman,IND,@LAC,5,0,0,0,0,0,0,0,0,0,9,7,58,1,5,0,18.80,18.80
2025,7,VD,QB,Baker Mayfield,TB,@DET,21,28,50,228,1,1,0,0,0,0,0,0,0,0,0,0,11.12,11.12
2025,7,VD,TE,Juwan Johnson,NO,@CHI,12,0,0,0,0,0,0,0,0,0,7,5,79,0,3,0,10.90,10.90
2025,7,VD,WR,Jaylin Noel,HOU,@SEA,13,0,0,0,0,0,0,0,0,0,7,4,77,0,3,0,10.70,10.70
2025,7,VD,QB,Bryce Young,CAR,@NYJ,20,15,25,138,1,0,2,10,0,0,0,0,0,0,0,0,10.52,10.52
2025,7,VD,TE,Kyle Pitts,ATL,@SF,15,0,0,0,0,0,0,0,0,0,10,7,62,0,4,0,10.20,10.20
2025,7,VD,WR,Ladd McConkey,LAC,IND,29,0,0,0,0,0,0,0,0,0,15,9,67,0,3,0,9.70,9.70
2025,7,VD,WR,Marvin Harrison,ARI,GB,19,0,0,0,0,0,0,0,0,0,6,2,58,0,2,0,7.80,7.80
2025,7,VD,WR,Rome Odunze,CHI,NO,15,0,0,0,0,0,0,0,0,0,6,2,31,0,2,0,5.10,5.10
2025,7,VD,QB,Justin Fields,NYJ,CAR,5,6,12,46,0,0,4,22,0,1,0,0,0,0,0,0,5.04,5.04
2025,7,VD,RB,Ollie Gordon,MIA,@CLE,1,0,0,0,0,0,5,11,0,1,2,1,2,0,0,0,2.30,2.30
2025,7,VD,RB,Bucky Irving,TB,@DET,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,RB,Kaleb Johnson,PIT,@CIN,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,RB,Omarion Hampton,LAC,IND,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,RB,Keaton Mitchell,BAL,BYE,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,WR,Tyreek Hill,MIA,@CLE,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,RB,Trey Benson,ARI,GB,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,WR,Chris Godwin,TB,@DET,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,QB,Anthony Richardson,IND,@LAC,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0.00
2025,7,VD,DST,Packers,GB,@ARI,20,,,,,,,,,,,,,,,,10.00,10.00
2025,7,WLW,WR,Travis Hunter,JAC,LAR,18,0,0,0,0,0,1,0,0,0,14,8,101,1,5,0,21.10,21.10
2025,7,WLW,WR,CeeDee Lamb,DAL,WAS,23,0,0,0,0,0,0,0,0,0,8,5,110,1,3,0,20.00,20.00
2025,7,WLW,RB,Chase Brown,CIN,PIT,14,0,0,0,0,0,11,108,0,4,4,2,-8,0,0,0,14.80,14.80
2025,7,WLW,RB,Rico Dowdle,CAR,@NYJ,15,0,0,0,0,0,17,79,0,4,2,1,17,0,1,0,14.60,14.60
2025,7,WLW,WR,Alec Pierce,IND,@LAC,5,0,0,0,0,0,0,0,0,0,10,5,98,0,4,0,13.80,13.80
2025,7,WLW,QB,CJ Stroud,HOU,@SEA,12,23,49,229,1,1,2,25,0,0,0,0,0,0,0,0,13.66,13.66
2025,7,WLW,QB,Jared Goff,DET,TB,22,20,29,241,1,1,2,7,0,1,0,0,0,0,0,1,11.34,11.34
2025,7,WLW,RB,JK Dobbins,DEN,NYG,17,0,0,0,0,0,14,81,0,3,1,1,-1,0,0,0,11.10,11.10
2025,7,WLW,RB,Chuba Hubbard,CAR,@NYJ,15,0,0,0,0,0,14,31,0,3,3,2,24,0,1,0,9.50,9.50
2025,7,WLW,WR,Marquise Brown,KC,LV,28,0,0,0,0,0,0,0,0,0,4,2,14,1,2,0,9.40,9.40
2025,7,WLW,RB,Tony Pollard,TEN,NE,5,0,0,0,0,0,6,18,0,0,6,6,43,0,3,0,9.10,9.10
2025,7,WLW,WR,Tre Tucker,LV,@KC,4,0,0,0,0,0,0,0,0,0,6,5,33,0,2,0,5.30,5.30
