Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,Prd. 1,Avg,Proj
WR,FRR,Jaylen Waddle,MIA,JAC,Sun  1:00pm ET,6,49.5,16,21,100%,87%,50,2,15.20,15.20,9.61
TE,FRR,Dalton Kincaid,BUF,ARI,Sun  1:00pm ET,12,46,5,15,98%,89%,5,2,2.10,2.10,7.51
WR,FRR,Tank Dell,HOU,@IND,Sun  1:00pm ET,14,47.5,21,12,99%,74%,3,2,8.90,8.90,9.72
WR,FRR,Drake London,ATL,PIT,Sun  1:00pm ET,12,42.5,18,16,100%,91%,35,1,2.50,2.50,9.51
QB,FRR,Trevor Lawrence,JAC,@MIA,Sun  1:00pm ET,12,49.5,11,24,93%,36%,70,2,12.28,12.28,17.33
DST,FRR,Steelers,PIT,@ATL,Sun  1:00pm ET,9,42.5,11,21,81%,58%,1,2,10.00,10.00,7.20
QB,FRR,Sam Darnold,MIN,@NYG,Sun  1:00pm ET,6,42,22,12,19%,3%,4,2,15.62,15.62,13.96
QB,FRR,Gardner Minshew,LV,@LAC,Sun  4:05pm ET,10,40.5,---,27,13%,1%,5,2,10.78,10.78,10.81
RB,FRR,Blake Corum,LAR,@DET,Sun  8:20pm ET,6,53.5,46,2,90%,3%,5,3,0.00,0.00,5.60
RB,FRR,Jordan Mason,SF,NYJ,Mon  8:15pm ET,9,43.5,---,25,64%,1%,3,2,0.00,0.00,4.60
RB,FRR,Rhamondre Stevenson,NE,@CIN,Sun  1:00pm ET,14,41,28,20,99%,66%,30,2,26.60,26.60,10.90
WR,FRR,Marquise Brown,KC,BAL,Thu  8:20pm ET,6,46,---,2,83%,1%,3,3,0.00,0.00,0.00
WR,FRR,Greg Dortch,ARI,@BUF,Sun  1:00pm ET,11,46,---,6,6%,1%,1,2,9.10,9.10,4.51
WR,FRR,Roman Wilson,PIT,@ATL,Sun  1:00pm ET,9,42.5,---,7,9%,1%,3,3,0.00,0.00,0.00
"QB,TE",FRR,Taysom Hill,NO,CAR,Sun  1:00pm ET,12,41.5,12,10,49%,17%,7,2,7.60,7.60,8.69
TE,FRR,TJ Hockenson,MIN,@NYG,Sun  1:00pm ET,6,42,---,4,73%,1%,13,3,0.00,0.00,0.00
QB,GF,Jordan Love,GB,@PHI,Fri  8:15pm ET,10,49.5,9,31,100%,81%,100,4,16.40,16.40,16.78
RB,GF,Aaron Jones,MIN,@NYG,Sun  1:00pm ET,6,42,20,26,100%,76%,80,1,22.90,22.90,8.90
