Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2025,3yr Avg,Proj
WR,RR,Davante Adams,LAR,SF,Thu  8:35pm ET,11,48.5,25,16,95%,39%,16.0,1,213.9,211.1,145.3
WR,RR,George Pickens,DAL,@NYG,Sun  8:20pm ET,14,48.5,9,23,99%,95%,23.0,1,271.9,205.5,198.0
TE,RR,Kyle Pitts,ATL,@PIT,Sun  1:00pm ET,11,41.5,7,26,95%,74%,2.0,1,173.8,133.1,134.0
RB,RR,Woody Marks,HOU,BUF,Sun  1:00pm ET,8,44.5,44,25,94%,38%,3.0,2,173.6,171.6,107.18
WR,RR,Michael Wilson,ARI,@LAC,Sun  4:25pm ET,14,46.5,40,3,93%,76%,2.0,1,193.6,138.0,117.67
QB,RR,Tyler Shough,NO,@DET,Sun  1:00pm ET,8,49.5,17,22,48%,21%,3.0,2,169.26,161.88,276.82
DST,RR,Patriots,NE,@SEA,Wed  8:20pm ET,11,44.5,7,5,86%,56%,1.0,1,150.0,115.0,126.4
QB,RR,Michael Penix,ATL,@PIT,Sun  1:00pm ET,11,41.5,---,24,15%,1%,5.0,1,125.48,77.86,40.23
RB,RR,Kaleb Johnson,PIT,ATL,Sun  1:00pm ET,9,41.5,---,16,13%,1%,15.0,2,10.0,5.3,12.5
WR,RR,Zachariah Branch,ATL,@PIT,Sun  1:00pm ET,11,41.5,---,26,2%,1%,5.0,3,0.0,0.0,58.67
WR,RR,Bryce Lance,NO,@DET,Sun  1:00pm ET,8,49.5,---,30,1%,1%,3.0,3,0.0,0.0,23.02
WR,RR,Jalen McMillan,TB,@CIN,Sun  1:00pm ET,10,52.5,---,9,10%,2%,3.0,1,25.9,70.7,89.63
TE,RR,Oronde Gadsden,LAC,ARI,Sun  4:25pm ET,7,46.5,21,31,62%,18%,2.0,1,110.4,109.1,84.1
