Season,Week,TRUFFLE,Pos,Player,NFL,Opp,OVP,Comp,ATT,Yds,TD,Int,Att,Yds,TD,1stD,Tar,Rec,Yds,TD,1stD,Lost,Avg,Total
2022,1,W (5/10),TE,Cary Angeline,PHI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Case Cookus,LV,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Case Keenum,BUF,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Ced Wilson,MIA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,WLW,WR,CeeDee Lamb,DAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Cethan Carter,MIA,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Chad Beebe,MIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Chad Hansen,ATL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Chad Henne,KC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Chad Kanoff,TB,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),WR,Charles Holland,CIN,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Charles Scarff,BAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Charlie Kolar,BAL,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Charlie Taumoepeau,DET,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Charlie Woerner,SF,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),TE,Chase Allen,CHI,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,CC,WR,Chase Claypool,PIT,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2022,1,W (5/10),QB,Chase Daniel,LAC,TBA,---,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
