Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2021,3yr Avg,Proj
DC,NN,Calvin Ridley Dead Cap,ATL,NO,Sun  1:00pm,14,41.5,---,13,0%,0%,5,1,0.00,0.00,0.00
QB,VD,Zach Wilson,NYJ,BAL,Sun  1:00pm,10,45,24,27,14%,3%,20,2,161.86,161.86,234.27
RB,VD,Austin Ekeler,LAC,LV,Sun  4:25pm,8,52,4,22,98%,86%,55,1,357.80,264.70,278.23
RB,VD,Derrick Henry,TEN,NYG,Sun  4:25pm,6,44,2,26,67%,11%,105,1,231.30,331.98,282.21
WR,VD,Davante Adams,LV,@LAC,Sun  4:25pm,6,52,5,3,99%,93%,69,1,305.30,264.80,189.82
WR,VD,Diontae Johnson,PIT,@CIN,Sun  1:00pm,9,44.5,27,20,98%,90%,28,1,228.40,179.70,153.33
WR,VD,Darnell Mooney,CHI,SF,Sun  1:00pm,14,42,26,19,88%,51%,2,1,189.70,153.90,133.66
TE,VD,Dalton Schultz,DAL,TB,Sun  8:20pm,9,52,6,19,85%,60%,5,1,173.80,96.60,121.82
RB,VD,David Montgomery,CHI,SF,Sun  1:00pm,14,42,14,3,98%,90%,30,1,226.00,242.40,184.02
QB,VD,Davis Mills,HOU,IND,Sun  1:00pm,6,44,27,24,9%,2%,3,2,161.96,161.96,195.37
DST,VD,Colts,IND,@HOU,Sun  1:00pm,14,44,14,17,74%,44%,2,1,134.00,132.00,153.20
RB,VD,D'Onta Foreman,CAR,CLE,Sun  1:00pm,13,41.5,48,16,77%,36%,3,1,112.90,69.40,76.60
RB,VD,Khalil Herbert,CHI,SF,Sun  1:00pm,14,42,49,3,25%,1%,1,1,94.90,94.90,64.80
WR,VD,Calvin Austin,PIT,@CIN,Sun  1:00pm,9,44.5,---,20,1%,0%,3,3,0.00,0.00,24.62
TE,VD,Jelani Woods,IND,@HOU,Sun  1:00pm,14,44,---,26,2%,0%,3,3,0.00,0.00,59.51
QB,WLW,Lamar Jackson,BAL,@NYJ,Sun  1:00pm,10,45,4,29,93%,27%,83,2,287.98,386.18,365.89
RB,WLW,Najee Harris,PIT,@CIN,Sun  1:00pm,9,44.5,3,18,99%,97%,25,2,310.70,310.70,228.20
RB,WLW,Isaiah Spiller,LAC,LV,Sun  4:25pm,8,52,50,22,3%,0%,10,3,0.00,0.00,105.15
WR,WLW,Tee Higgins,CIN,PIT,Sun  1:00pm,10,44.5,12,15,98%,75%,5,1,198.10,187.40,165.91
WR,WLW,CeeDee Lamb,DAL,TB,Sun  8:20pm,9,52,6,12,99%,93%,20,1,211.80,199.70,185.82
WR,WLW,Michael Thomas,NO,@ATL,Sun  1:00pm,14,41.5,21,26,23%,4%,52,2,0.00,129.10,137.88
TE,WLW,Zach Ertz,ARI,KC,Sun  4:25pm,13,53,9,10,91%,62%,1,1,146.70,128.20,107.17
WR,WLW,DJ Moore,CAR,CLE,Sun  1:00pm,13,41.5,14,7,96%,63%,46,1,208.50,205.20,160.27
QB,WLW,Daniel Jones,NYG,@TEN,Sun  4:25pm,9,44,21,15,18%,1%,48,1,183.52,205.76,250.12
QB,WLW,Malik Willis,TEN,NYG,Sun  4:25pm,6,44,---,9,2%,0%,5,3,0.00,0.00,11.00
WR,WLW,Rashod Bateman,BAL,@NYJ,Sun  1:00pm,10,45,28,16,45%,11%,5,2,86.50,86.50,136.95
WR,WLW,Gabriel Davis,BUF,@LAR,Thu  8:20pm,7,52,25,21,42%,15%,2,1,119.90,121.40,141.89
WR,WLW,Terrace Marshall,CAR,CLE,Sun  1:00pm,13,41.5,---,7,7%,0%,4,2,22.80,22.80,26.43
WR,WLW,Khalil Shakir,BUF,@LAR,Thu  8:20pm,7,52,---,21,1%,0%,3,3,0.00,0.00,28.03
