Pos,TRUFFLE,Player,NFL,Opp,Game Time,Bye,O/U,PosRnk,Ovp,Rost,Start,Salary,Contract,2023,3yr Avg,Proj
WR,MB,Josh Palmer,LAC,LV,Sun  4:05pm ET,5,42.5,51,11,43%,6%,1,2,90.70,100.10,108.72
RB,MB,Tyrone Tracy,NYG,MIN,Sun  1:00pm ET,11,41.5,50,11,7%,1%,1,2,0.00,0.00,93.92
QB,MB,Bryce Young,CAR,@NO,Sun  1:00pm ET,11,40.5,25,9,34%,7%,10,2,174.38,172.56,201.74
QB,NBB,Josh Allen,BUF,ARI,Sun  1:00pm ET,12,48,3,28,100%,97%,199,2,449.64,447.72,378.77
RB,NBB,Blake Corum,LAR,@DET,Sun  8:20pm ET,6,51,46,2,14%,2%,5,3,0.00,0.00,116.02
RB,NBB,Will Shipley,PHI,GB,Fri  8:15pm ET,5,48.5,---,23,3%,1%,3,3,0.00,0.00,30.01
WR,NBB,Mike Evans,TB,WAS,Sun  4:25pm ET,11,41.5,12,31,98%,93%,43,2,257.50,236.90,174.11
WR,NBB,Brian Thomas,JAC,@MIA,Sun  1:00pm ET,12,49,40,19,11%,2%,10,3,0.00,0.00,117.85
TE,NBB,Kyle Pitts,ATL,PIT,Sun  1:00pm ET,12,43,7,23,79%,44%,16,2,119.70,111.60,116.85
RB,NBB,Nick Chubb,CLE,DAL,Sun  4:25pm ET,10,44,37,18,38%,6%,41,2,28.10,205.20,146.24
RB,NBB,D'Andre Swift,CHI,TEN,Sun  1:00pm ET,7,43,24,12,94%,70%,39,2,218.30,191.60,151.35
QB,NBB,Trevor Lawrence,JAC,@MIA,Sun  1:00pm ET,12,49,15,24,88%,27%,65,2,285.54,275.00,296.56
DST,NBB,Bills,BUF,ARI,Sun  1:00pm ET,12,48,9,21,93%,65%,4,2,166.00,140.00,157.70
WR,NBB,Gabe Davis,JAC,@MIA,Sun  1:00pm ET,12,49,---,19,75%,26%,2,2,150.60,143.40,100.49
RB,NBB,Gus Edwards,LAC,LV,Sun  4:05pm ET,5,42.5,35,24,87%,26%,4,2,229.00,150.90,135.90
WR,NBB,Chris Godwin,TB,WAS,Sun  4:25pm ET,11,41.5,32,31,88%,52%,3,2,182.20,187.30,132.24
TE,NBB,Dallas Goedert,PHI,GB,Fri  8:15pm ET,5,48.5,11,28,84%,50%,4,2,110.30,124.40,112.58
WR,NBB,Terry McLaurin,WAS,@TB,Sun  4:25pm ET,14,41.5,30,23,87%,35%,12,2,177.20,191.40,130.35
