RK,TIERS,PLAYER NAME,TEAM,POS,BYE WEEK,AGE,SOS SEASON,ECR VS. ADP
304,14,Richie James Jr.,KC,WR115,10,28,3 out of 5 stars,-
305,14,Jaleel McLaughlin,DEN,RB101,9,23,3 out of 5 stars,-
306,14,Emari Demercado,ARI,RB102,14,24,2 out of 5 stars,-
307,14,Greg Dortch,ARI,WR116,14,25,1 out of 5 stars,-
308,14,Noah Brown,HOU,WR117,7,27,3 out of 5 stars,-
309,14,Tim Patrick,DEN,WR118,9,30,3 out of 5 stars,-
310,14,Clayton Tune,ARI,QB45,14,24,2 out of 5 stars,-
311,14,Jauan Jennings,SF,WR119,9,26,3 out of 5 stars,-
312,14,Rico Dowdle,DAL,RB103,7,25,3 out of 5 stars,-
313,14,Melvin Gordon III,BAL,RB104,13,30,2 out of 5 stars,-
314,14,Charlie Kolar,BAL,TE46,13,24,3 out of 5 stars,-
315,14,Justyn Ross,KC,WR120,10,23,3 out of 5 stars,-
316,14,Laviska Shenault Jr.,CAR,WR121,7,25,4 out of 5 stars,-
317,14,Adam Trautman,DEN,TE47,9,26,4 out of 5 stars,-
318,14,Mack Hollins,ATL,WR122,11,30,4 out of 5 stars,-
319,14,Deonte Harty,BUF,WR123,13,25,2 out of 5 stars,-
320,14,Tyrion Davis-Price,SF,RB105,9,23,2 out of 5 stars,-
321,14,Robert Tonyan,CHI,TE48,13,29,3 out of 5 stars,-
322,14,Nick Westbrook-Ikhine,TEN,WR124,7,26,3 out of 5 stars,-
323,14,Albert Okwuegbunam,PHI,TE49,10,25,4 out of 5 stars,-
324,14,Isaiah McKenzie,IND,WR125,11,28,2 out of 5 stars,-
325,14,Braxton Berrios,MIA,WR126,10,28,3 out of 5 stars,-
326,14,Brevin Jordan,HOU,TE50,7,23,2 out of 5 stars,-
327,14,Donald Parham Jr.,LAC,TE51,5,26,3 out of 5 stars,-
328,14,Tre Tucker,LV,WR127,13,22,4 out of 5 stars,-
329,14,Will Mallory,IND,TE52,11,24,4 out of 5 stars,-
330,14,Kylen Granson,IND,TE53,11,25,4 out of 5 stars,-
331,14,Trayveon Williams,CIN,RB106,7,26,2 out of 5 stars,-
332,15,C.J. Uzomah,NYJ,TE54,7,30,4 out of 5 stars,-
333,15,Derius Davis,LAC,WR128,5,23,3 out of 5 stars,-
334,15,Nelson Agholor,BAL,WR129,13,30,2 out of 5 stars,-
335,15,Sterling Shepard,NYG,WR130,13,30,3 out of 5 stars,-
336,15,Cole Turner,WAS,TE55,14,23,3 out of 5 stars,-
337,15,Tony Jones Jr.,NO,RB107,11,26,3 out of 5 stars,-
338,15,Will Dissly,SEA,TE56,5,27,3 out of 5 stars,-
339,15,Kalif Raymond,DET,WR131,9,29,3 out of 5 stars,-
340,15,Mo Alie-Cox,IND,TE57,11,30,4 out of 5 stars,-
341,15,Peyton Hendershot,DAL,TE58,7,24,3 out of 5 stars,-
342,15,Denzel Mims,PIT,WR132,6,26,1 out of 5 stars,-
343,15,Olamide Zaccheaus,PHI,WR133,10,26,4 out of 5 stars,-
344,15,Harrison Bryant,CLE,TE59,5,25,2 out of 5 stars,-
345,15,Durham Smythe,MIA,TE60,10,28,3 out of 5 stars,-
346,15,Kenyan Drake,CLE,RB108,5,29,2 out of 5 stars,-
347,15,Kene Nwangwu,MIN,RB109,13,25,3 out of 5 stars,-
348,15,Marvin Jones Jr.,FA,WR134,-,33,-,-
349,15,Elijah Higgins,ARI,TE61,14,23,3 out of 5 stars,-
350,15,KaVontae Turpin,DAL,WR135,7,27,4 out of 5 stars,-
351,15,Justin Shorter,BUF,WR136,13,23,2 out of 5 stars,-
352,15,Zack Kuntz,NYJ,TE62,7,24,4 out of 5 stars,-
353,15,Ronald Jones II,FA,RB110,-,26,-,-
354,15,Brandon Johnson,DEN,WR137,9,25,3 out of 5 stars,-
355,15,Jeremy Ruckert,NYJ,TE63,7,23,4 out of 5 stars,-
356,15,Ronnie Bell,SF,WR138,9,23,3 out of 5 stars,-
357,15,Salvon Ahmed,MIA,RB111,10,24,4 out of 5 stars,-
358,15,Quez Watkins,PHI,WR139,10,25,4 out of 5 stars,-
359,15,Ben Skowronek,LAR,WR140,10,26,3 out of 5 stars,-
360,15,KJ Hamler,IND,WR141,11,24,2 out of 5 stars,-
361,15,Myles Gaskin,MIN,RB112,13,26,3 out of 5 stars,-
362,15,John Bates,WAS,TE64,14,26,3 out of 5 stars,-
363,15,Bryce Ford-Wheaton,NYG,WR142,13,23,3 out of 5 stars,-
364,15,Connor Heyward,PIT,TE65,6,24,2 out of 5 stars,-
365,15,Ronnie Rivers,LAR,RB113,10,24,3 out of 5 stars,-
366,15,Cedrick Wilson Jr.,MIA,WR143,10,28,3 out of 5 stars,-
367,15,Dyami Brown,WAS,WR144,14,24,3 out of 5 stars,-
368,15,Rakim Jarrett,TB,WR145,5,22,4 out of 5 stars,-
369,15,P.J. Walker,CLE,QB46,5,28,2 out of 5 stars,-
370,15,Tommy Tremble,CAR,TE66,7,23,4 out of 5 stars,-
371,15,Erik Ezukanma,MIA,WR146,10,23,3 out of 5 stars,-
372,15,Hassan Haskins,TEN,RB114,7,24,3 out of 5 stars,-
373,15,Danny Gray,SF,WR147,9,24,3 out of 5 stars,-
374,15,Trent Sherfield,BUF,WR148,13,27,2 out of 5 stars,-
375,15,Dres Anderson,FA,WR149,-,31,-,-
